longitude,latitude,name,place,score,sense,thoughts,sounds
77.4673094,12.9448546,Ramasandra,neighbourhood,59,layered,calm,
77.5476067,13.1203796,Jarakabande Kaval,neighbourhood,66,layered,calm,
77.6349677,12.9644251,Domlur BDA Layout,neighbourhood,85,blast,vibrant,
77.6958748,12.9578658,Sanjay Nagar,neighbourhood,76,layered,calm,
77.637603,12.9243496,Jakkasandra,neighbourhood,74,mixed,vibrant,
77.6341185,12.9188265,Teacher's Colony,neighbourhood,59,layered,calm,
77.7033003,12.9530508,P R Layout,neighbourhood,60,layered,chaotic,
77.4954936,12.9395391,Nagadevanahalli,neighbourhood,68,layered,calm,
77.4939999,13.0352169,Doddabidarakallu,neighbourhood,65,layered,calm,
77.6553966,12.9574268,Kaveri Nagara,neighbourhood,64,layered,chaotic,
77.6548187,12.9584666,Thimmah Reddy Colony,neighbourhood,58,layered,chaotic,
77.6585404,12.9619868,BDA Layout,neighbourhood,63,layered,calm,
77.6684717,12.9721937,BEML Township,neighbourhood,66,layered,calm,
77.6521258,12.9752334,Bhoomi Reddy Colony,neighbourhood,69,layered,calm,
77.6497819,12.9715338,HAL 3rd Stage,neighbourhood,80,blast,vibrant,
77.6566216,12.9832023,Sudgunte Palya,neighbourhood,64,layered,calm,
77.6565969,12.9549208,KR Garden,neighbourhood,81,blast,calm,
77.6571392,12.9581991,Sri Ram Nagar,neighbourhood,57,layered,chaotic,
77.6511086,12.9559345,NR Layout,neighbourhood,43,bleh,chaotic,
77.6506725,12.954706,SR Layout,neighbourhood,59,layered,chaotic,
77.6323745,12.905811,Mangamannapalya,neighbourhood,71,layered,calm,
77.7456311,12.9563879,Varthur Kodi,neighbourhood,19,bleh,frantic,
77.6138927,12.9224501,Maruthi Nagara,neighbourhood,73,layered,calm,
77.6612636,12.9547408,Air View Colony,neighbourhood,47,layered,chaotic,
77.713218,12.9595347,Vaikuntam Layout,neighbourhood,69,mixed,alive,
77.660725,12.9566767,Annaniappa Layout,neighbourhood,44,bleh,chaotic,
77.6591919,12.9569693,Vinayaka Nagar A Block,neighbourhood,44,bleh,chaotic,
77.6532017,12.9530641,Muniyappa Layout,neighbourhood,45,layered,chaotic,
77.628026,12.9746882,Jogupalya,neighbourhood,78,mixed,vibrant,
77.6316363,12.9748063,Saraswathipuram,neighbourhood,77,mixed,vibrant,
77.6253437,12.9689797,Gowthamapura,neighbourhood,72,mixed,vibrant,
77.6753587,12.9930799,A Narayanapura,neighbourhood,68,layered,calm,
77.637243,12.9741879,Appareddipalaya,neighbourhood,73,mixed,vibrant,
77.635328,12.9867555,Kadiranpalaya,neighbourhood,73,mixed,vibrant,
77.6542086,12.9690711,LIC Colony,neighbourhood,75,layered,calm,
77.6464991,12.9720823,Old Thippasandra,neighbourhood,73,mixed,vibrant,
77.6483709,12.9816939,BM Kaval,neighbourhood,78,mixed,vibrant,
77.6465951,12.981094,Michaelpalya,neighbourhood,76,mixed,vibrant,
77.6027552,12.9456451,Eramma Layout,neighbourhood,75,mixed,vibrant,
77.5521201,12.9140392,Seven Hills Layout,neighbourhood,65,layered,calm,
77.6096252,12.9315457,Sadgunte Palya,neighbourhood,75,mixed,vibrant,
77.5202254,13.0194736,MEI Colony,neighbourhood,43,bleh,chaotic,
77.5653751,12.9043655,Rajotsava Nagar,neighbourhood,83,blast,calm,
77.5537191,12.8962755,Kalyani Nagara,neighbourhood,64,mixed,alive,
77.6173368,12.8997376,Lake City,neighbourhood,87,blast,calm,
77.5751704,13.0042636,Vyalikaval,neighbourhood,77,blast,calm,
77.5857284,12.9968123,Chakravarty Layout,neighbourhood,62,layered,calm,
77.5550809,12.9012176,Vittal Nagar,neighbourhood,84,blast,calm,
77.6633556,12.9922512,Putanna Garden,neighbourhood,74,layered,calm,
77.6527383,12.9709603,Puttappa Layout,neighbourhood,80,blast,calm,
77.6379716,13.0295035,Palm Grove,neighbourhood,66,layered,calm,
77.5641719,12.9359484,Ashokanagara,neighbourhood,74,mixed,vibrant,
77.6427434,12.9566279,Amarjyothi Layout,neighbourhood,47,layered,chaotic,
77.6228944,12.9792343,MV Garden,neighbourhood,88,blast,calm,
77.6247821,12.9796895,Gupta Layout,neighbourhood,77,mixed,vibrant,
77.6415509,12.9795785,Old Binnamangala,neighbourhood,79,mixed,vibrant,
77.6086395,12.9825003,Commercial Street Market,neighbourhood,33,bleh,chaotic,
77.7506234,12.9657494,Narayanappa Gardens,neighbourhood,73,layered,calm,
77.6701877,12.9269039,Green Glen Layout,neighbourhood,22,bleh,frantic,
77.605818,12.9801622,Tasker Town,neighbourhood,80,blast,vibrant,
77.659472,12.9645936,Anandapuram,neighbourhood,69,layered,calm,
77.6609288,12.9460886,Belure Ambedkar Nagar,neighbourhood,40,bleh,chaotic,
77.7008465,12.9367661,Kaverappa Layout,neighbourhood,46,layered,chaotic,
77.6556269,12.943102,Belur Nagasandra,neighbourhood,57,layered,chaotic,
77.651534,12.9451006,Challaghatta,neighbourhood,51,layered,chaotic,
77.6873031,12.9371495,Kariyammana Agrahara,neighbourhood,49,layered,chaotic,
77.6301239,12.9981729,ITC Colony,neighbourhood,66,layered,calm,
77.628189,12.9995526,MSO Colony,neighbourhood,62,layered,calm,
77.5009307,13.0669639,Kirloskar Layout,neighbourhood,75,layered,calm,
77.5142974,12.8683303,Nagegowdanapalya,neighbourhood,70,layered,calm,
77.5019592,12.8819899,Gattigerepalya,neighbourhood,62,layered,calm,
77.5144615,12.8801983,Chikkegowdanpalya,neighbourhood,71,layered,calm,
77.6085468,12.9508013,Gajendra Nagara,neighbourhood,65,mixed,vibrant,
77.6621295,12.9576935,MES Colony,neighbourhood,63,layered,chaotic,
77.7069486,12.9541555,Gandhi Nagar,neighbourhood,52,layered,chaotic,
77.6433621,12.9659245,Babasaheb Colony,neighbourhood,81,blast,vibrant,
77.6537885,12.9758758,Gitanjali Layout,neighbourhood,60,layered,calm,
77.5833158,12.9667841,Ganigarpet,neighbourhood,30,bleh,chaotic,
77.5778022,12.9687279,Mamulpete,neighbourhood,37,bleh,chaotic,
77.5845488,12.8775024,Krishna Nagar,neighbourhood,74,layered,calm,
77.6249486,12.9330208,Maistripalaya,neighbourhood,81,blast,vibrant,
77.6671318,12.9661271,Jothinagar,neighbourhood,64,layered,calm,
77.6494922,12.8843419,"AECS Layout, A block",neighbourhood,58,mixed,alive,
77.5866428,12.9930728,Abshot Layout,neighbourhood,62,layered,calm,
77.6033328,12.9207575,Gurappana Palya,neighbourhood,83,blast,calm,
77.4809397,12.983302,Byadarahalli,neighbourhood,65,layered,calm,
77.4645643,12.9766569,Kodigehalli,neighbourhood,69,layered,calm,
77.5250464,13.1124139,Byalakere,neighbourhood,82,blast,calm,
77.6431419,12.9814904,Hutting Colony,neighbourhood,72,mixed,vibrant,
77.6831272,13.0195427,Akshaya Nagar,neighbourhood,67,layered,calm,
77.6314169,12.9693316,Someshwarapura,neighbourhood,77,mixed,vibrant,
77.6468359,12.958343,Corporation Colony,neighbourhood,47,layered,chaotic,
77.6131984,12.9845768,Sivanchetti Gardens,neighbourhood,77,layered,calm,
77.6263539,13.0850788,Chokkanahalli,neighbourhood,58,layered,calm,
77.6269272,12.9708978,Keshavaraj Layout,neighbourhood,68,mixed,vibrant,
77.6150863,12.9632532,Officers Colony,neighbourhood,88,blast,calm,
77.6130746,12.9624115,Yellagondanpalya,neighbourhood,79,mixed,vibrant,
77.6127125,12.9646019,Xavier Layout,neighbourhood,85,blast,vibrant,
77.5700846,12.897971,Yelachenahalli,neighbourhood,71,layered,calm,
77.6945617,13.0029155,Justice Bheemiah Layout,neighbourhood,58,mixed,alive,
77.5623929,12.9479343,Gavipuram,neighbourhood,79,blast,calm,
77.4917699,12.9062295,Concept City,neighbourhood,60,layered,calm,
77.6610345,12.9627471,Sudhama Nagar,neighbourhood,68,layered,calm,
77.6566232,12.9637948,Shivalingaiah Colony,neighbourhood,69,layered,calm,
77.6631129,12.9609594,HAL Township,neighbourhood,42,bleh,chaotic,
77.6371896,12.9562218,Krishna Reddy Colony,neighbourhood,86,blast,vibrant,
77.6388125,12.9752555,Indiranagar 3rd Stage,neighbourhood,79,blast,vibrant,
77.6457345,12.9870838,New Baiyyappanahalli Extension,neighbourhood,43,bleh,chaotic,
77.6578762,12.9959987,Sadananda Nagar,neighbourhood,56,layered,calm,
77.6471078,12.9887931,Ramaswamy Layout,neighbourhood,77,mixed,vibrant,
77.6134783,12.9364846,Koramangala 7th Block,neighbourhood,84,blast,vibrant,
77.6256751,12.9810639,Jayaraj Nagar,neighbourhood,86,blast,vibrant,
77.6255794,12.9775809,Dodakattappa,neighbourhood,81,blast,vibrant,
77.6273767,12.9802093,Hoysala Nagar,neighbourhood,75,mixed,vibrant,
77.6228178,12.9757691,Someshwarpura,neighbourhood,80,blast,vibrant,
77.6168362,12.976384,Hanumanthappa Layout,neighbourhood,86,blast,vibrant,
77.6182694,12.9775731,Yellappa Chetty Layout,neighbourhood,80,blast,vibrant,
77.5338176,12.8886141,Karishma Hills,neighbourhood,67,layered,calm,
77.667161,12.9173303,Ambalipura,neighbourhood,17,bleh,frantic,
77.7541055,12.9798531,Ambedkar Nagar,neighbourhood,50,mixed,alive,
77.6983434,12.9965867,ITI Industrial Estate,neighbourhood,23,bleh,frantic,
77.7004141,12.9970362,Devasandra Industrial Estate,neighbourhood,25,bleh,frantic,
77.6232254,12.9869375,Kalahalli,neighbourhood,71,mixed,vibrant,
77.579307,13.0482241,Papanna Layout,neighbourhood,74,layered,calm,
